Region,Date,Average Price,Lines
Rest of the UK,2017-03-01,23.608782,
Rest of the UK,2017-04-01,23.66692,
Rest of the UK,2017-05-01,23.769676,
Rest of the UK,2017-06-01,23.891237,
Rest of the UK,2017-07-01,24.118866,
Rest of the UK,2017-08-01,24.171833,
Rest of the UK,2017-09-01,24.199116,
Rest of the UK,2017-10-01,24.27809,
Rest of the UK,2017-11-01,24.258205,
Rest of the UK,2017-12-01,24.356985,
Rest of the UK,2018-01-01,24.472404,
Rest of the UK,2018-02-01,24.57909,
Rest of the UK,2018-03-01,24.670383,
Rest of the UK,2018-04-01,24.734978,
Rest of the UK,2018-05-01,24.771763,
Rest of the UK,2018-06-01,24.848764,
Rest of the UK,2018-07-01,24.881666,
Rest of the UK,2018-08-01,25.05247,
Rest of the UK,2018-09-01,25.16294,
Rest of the UK,2018-10-01,25.250946,
Rest of the UK,2018-11-01,25.270195,
Rest of the UK,2018-12-01,25.333612,
Rest of the UK,2019-01-01,25.361181,
Rest of the UK,2019-02-01,25.523289,
Rest of the UK,2019-03-01,25.643284,
Rest of the UK,2019-04-01,25.719406,
Rest of the UK,2019-05-01,25.816345,
Rest of the UK,2019-06-01,25.900955,
Rest of the UK,2019-07-01,25.95571,
Rest of the UK,2019-08-01,26.005747,
Rest of the UK,2019-09-01,26.111252,
Rest of the UK,2019-10-01,26.112167,
Rest of the UK,2019-11-01,26.204485,
Rest of the UK,2019-12-01,26.29678,
Rest of the UK,2020-01-01,26.424849,
Rest of the UK,2020-02-01,26.498877,
Rest of the UK,2020-03-01,26.701956,
Rest of the UK,2020-04-01,26.758331,
Rest of the UK,2020-05-01,26.819067,
Rest of the UK,2020-06-01,26.918306,
Rest of the UK,2020-07-01,27.059464,
Rest of the UK,2020-08-01,27.186409,
Rest of the UK,2020-09-01,27.395763,
Rest of the UK,2020-10-01,27.44844,
Rest of the UK,2020-11-01,27.519043,
Rest of the UK,2020-12-01,27.615192,
Rest of the UK,2021-01-01,27.619,
Rest of the UK,2021-05-01,28.088995,
Rest of the UK,2021-06-01,28.241724,
Rest of the UK,2021-07-01,28.417883,
Rest of the UK,2021-08-01,28.834833,
Rest of the UK,2021-09-01,28.985664,
Rest of the UK,2021-10-01,29.36486,
Rest of the UK,2021-11-01,29.43054,
Rest of the UK,2021-12-01,29.690619,
Rest of the UK,2022-01-01,29.91707,
Rest of the UK,2022-02-01,30.072206,
Rest of the UK,2022-03-01,30.221514,
Rest of the UK,2022-04-01,30.496601,
Rest of the UK,2022-05-01,30.969225,
Rest of the UK,2022-06-01,31.41137,
Rest of the UK,2022-07-01,31.899715,
Rest of the UK,2022-08-01,32.252335,
Rest of the UK,2022-09-01,32.591244,
Rest of the UK,2022-10-01,33.045506,
Rest of the UK,2022-11-01,33.198395,
